ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
60;Femea;38;660.0;1.7;9.5;9.0;11.0;5.0;29.5;28.0;21.0;6.0;8.2;5.0;5.6
70;Macho;38;530.0;1.5;9.5;8.0;10.2;6.0;29.0;31.0;20.5;7.0;7.5;5.0;5.3
89;Femea;38;655.0;2.5;10.0;10.2;13.0;7.0;25.0;30.0;24.0;8.0;10.0;7.0;5.3
97;Femea;38;470.0;1.7;9.5;8.0;11.0;6.0;30.0;23.0;23.0;6.0;7.5;4.5;5.6
103;Macho;38;595.0;1.6;9.5;13.0;12.0;6.0;29.5;29.0;22.5;8.0;10.5;6.0;5.8
108;Femea;38;415.0;1.5;8.9;7.0;11.0;6.0;28.0;29.0;19.0;6.7;7.5;4.2;5.2
110;Femea;38;370.0;1.9;9.3;13.5;11.0;6.0;29.5;30.0;19.5;7.0;8.5;5.5;5.2
129;Macho;38;575.0;2.1;9.5;8.0;10.5;5.5;31.0;30.5;22.0;7.0;8.9;4.2;5.5
136;Macho;38;710.0;2.1;10.0;16.1;12.3;6.0;34.2;27.0;24.0;9.1;10.2;6.2;6.9
138;Macho;38;555.0;1.8;9.7;8.6;13.7;6.0;30.2;28.4;18.9;7.8;8.4;4.3;5.4
140;Femea;38;500.0;1.9;10.0;13.0;12.0;5.2;29.0;28.0;20.2;8.6;8.5;6.5;6.3
144;Macho;38;685.0;2.0;10.0;9.0;12.0;7.0;30.0;30.0;23.0;8.0;10.0;7.0;6.0
146;Femea;38;505.0;1.7;9.0;8.0;10.5;5.0;27.3;30.0;24.0;7.0;8.2;4.0;6.3
156;Femea;38;505.0;1.7;9.4;7.3;13.2;6.7;27.2;25.6;18.0;7.6;7.5;4.9;5.6
177;Macho;38;610.0;2.1;10.0;12.0;12.1;6.5;31.5;27.5;24.5;8.0;9.0;6.0;6.5
